sample_id,Contig_ID,Contig_length,MEGARes group,MGE gene,Distance,Occurences,ARG_position,MGE_position,Low_Coverage_Flag,LowCov_ARG_Pct,LowCov_MGE_Pct
ERR2198632,NODE_42_length_233174_cov_91.935340,233174,EVGA,gene:plasmid:134726,190117,2,4610:5225,195342:195418,None,0,0
ERR2198632,NODE_3_length_581595_cov_81.435796,581595,MARR,gene:plasmid:156169,50329,1,53995:54430,2487:3666,None,0,0
ERR2198632,NODE_3_length_581595_cov_81.435796,581595,MARR,gene:plasmid:155982,49700,1,53995:54430,3667:4295,None,0,0
ERR2198632,NODE_3_length_581595_cov_81.435796,581595,MARR,gene:proph:183581,197428,1,53995:54430,251858:252200,None,0,0
ERR2198632,NODE_3_length_581595_cov_81.435796,581595,MARR,gene:proph:163928,454732,1,53995:54430,509162:510446,None,0,0
ERR2198632,NODE_3_length_581595_cov_81.435796,581595,MARR,ICEberg|74|ICEEcIHE3034-1|GenBank|AM229678|292..54752,460823,1,53995:54430,515253:569682,None,0,0
ERR2198632,NODE_6_length_475456_cov_90.686330,475456,ACRR,gene:proph:182984,77581,1,101184:101832,23033:23603,None,0,0
ERR2198632,NODE_6_length_475456_cov_90.686330,475456,ACRR,gene:proph:182982,76174,1,101184:101832,23998:25010,None,0,0
ERR2198632,NODE_6_length_475456_cov_90.686330,475456,ACRR,gene:proph:183637,202891,1,101184:101832,304723:305380,None,0,0
ERR2198632,NODE_6_length_475456_cov_90.686330,475456,ACRR,gene:proph:175234,269121,1,101184:101832,370953:372084,None,0,0
ERR2198632,NODE_6_length_475456_cov_90.686330,475456,ACRR,gene:proph:182983,349738,1,101184:101832,451570:451663,None,0,0
ERR2198632,NODE_6_length_475456_cov_90.686330,475456,ACRR,gene:proph:182947,350716,1,101184:101832,452548:452770,None,0,0
ERR2198632,NODE_6_length_475456_cov_90.686330,475456,ACRR,gene:proph:182948,350970,1,101184:101832,452802:453312,None,0,0
ERR2198632,NODE_6_length_475456_cov_90.686330,475456,ACRR,gene:proph:179396,351481,1,101184:101832,453313:453520,None,0,0
ERR2198632,NODE_6_length_475456_cov_90.686330,475456,ACRR,gene:proph:182949,351689,1,101184:101832,453521:453825,None,0,0
ERR2198632,NODE_6_length_475456_cov_90.686330,475456,ACRR,gene:proph:182979,352060,1,101184:101832,453892:454126,None,0,0
ERR2198632,NODE_6_length_475456_cov_90.686330,475456,ACRR,gene:proph:179392,352305,1,101184:101832,454137:454353,None,0,0
ERR2198632,NODE_6_length_475456_cov_90.686330,475456,ACRR,gene:proph:182981,352522,1,101184:101832,454354:455207,None,0,0
ERR2198632,NODE_6_length_475456_cov_90.686330,475456,ACRR,gene:proph:182973,353376,1,101184:101832,455208:457618,None,0,0
ERR2198632,NODE_6_length_475456_cov_90.686330,475456,ACRR,gene:proph:161581,355938,1,101184:101832,457770:457954,None,0,0
ERR2198632,NODE_6_length_475456_cov_90.686330,475456,ACRR,gene:proph:161580,356123,1,101184:101832,457955:458201,None,0,0
ERR2198632,NODE_6_length_475456_cov_90.686330,475456,ACRR,gene:proph:161578,357190,1,101184:101832,459022:459156,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:175013,10574,1,11223:11946,76:649,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:175031,9259,1,11223:11946,791:1964,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:182959,8734,1,11223:11946,1973:2489,None,0,0
